# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sat Nov  4 20:13:26 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.02 0.14251 8.80000 0.8999999762 2.4492786016    0.899 -0.375  3.7181  4.591    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.83e-14      0.00 6.992e-01 2.810e-01 3.514e-03 9.596e-04 8.716e-03 -1.000 1.980e-02 5.707 5.642 6.084 5.035
0.02 0.14251 8.80000 0.9499999881 2.4618121868    0.950 -0.262  3.7338  4.565    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.67e-14      0.00 6.997e-01 2.805e-01 3.509e-03 9.582e-04 8.704e-03 -1.000 1.981e-02 5.426 5.332 5.736 4.759
0.02 0.14251 8.80000 0.9957192540 2.4720149305    0.996 -0.161  3.7472  4.538    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-14      0.00 7.003e-01 2.799e-01 3.503e-03 9.565e-04 8.689e-03 -1.000 1.976e-02 5.173 5.060 5.433 4.519
0.02 0.14251 8.80000 1.0000000000 2.4729154477    1.000 -0.152  3.7484  4.536    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-14      0.00 7.004e-01 2.798e-01 3.502e-03 9.564e-04 8.688e-03 -1.000 1.975e-02 5.150 5.036 5.406 4.498
0.02 0.14251 8.80000 1.0338393450 2.4797332513    1.033 -0.081  3.7573  4.515    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-14      0.00 7.010e-01 2.793e-01 3.496e-03 9.547e-04 8.673e-03 -1.000 1.970e-02 4.973 4.850 5.199 4.333
0.02 0.14251 8.80000 1.0499999523 2.4828114860    1.049 -0.048  3.7614  4.505    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.69e-14      0.00 7.013e-01 2.790e-01 3.493e-03 9.539e-04 8.665e-03 -1.000 1.968e-02 4.890 4.764 5.103 4.257
0.02 0.14251 8.80000 1.1000000238 2.4916801480    1.099  0.053  3.7733  4.471    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.73e-14      0.00 7.026e-01 2.778e-01 3.479e-03 9.502e-04 8.631e-03 -1.000 1.959e-02 4.638 4.506 4.818 4.027
0.02 0.14251 8.80000 1.1499999762 2.4996678137    1.149  0.150  3.7841  4.437    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.84e-14      0.00 7.047e-01 2.758e-01 3.457e-03 9.442e-04 8.579e-03 -1.000 1.951e-02 4.396 4.260 4.548 3.808
0.02 0.14251 8.80000 1.1851937771 2.5048277814    1.185  0.218  3.7912  4.411    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.71e-14      0.00 7.073e-01 2.733e-01 3.431e-03 9.374e-04 8.517e-03 -1.000 1.939e-02 4.226 4.089 4.362 3.654
0.02 0.14251 8.80000 1.2000000477 2.5068948796    1.199  0.243  3.7942  4.402    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.03e-14      0.00 7.075e-01 2.732e-01 3.429e-03 9.369e-04 8.514e-03 -1.000 1.936e-02 4.162 4.025 4.292 3.598
0.02 0.14251 8.80000 1.2059867382 2.5077141259    1.205  0.256  3.7954  4.397    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.21e-14      0.00 7.081e-01 2.726e-01 3.424e-03 9.355e-04 8.500e-03 -1.000 1.934e-02 4.130 3.993 4.258 3.569
0.02 0.14251 8.80000 1.2219812870 2.5098576864    1.222  0.285  3.7985  4.386    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.57e-14      0.00 7.081e-01 2.726e-01 3.426e-03 9.360e-04 8.506e-03 -1.000 1.934e-02 4.057 3.920 4.178 3.504
0.02 0.14251 8.80000 1.2468440533 2.5130645172    1.246  0.328  3.8031  4.370    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.071e-01 2.735e-01 3.440e-03 9.398e-04 8.540e-03 -1.000 1.939e-02 3.951 3.814 4.063 3.409
0.02 0.14251 8.80000 1.2500000000 2.5134610955    1.250  0.333  3.8037  4.369    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-13      0.00 7.070e-01 2.736e-01 3.442e-03 9.404e-04 8.545e-03 -1.000 1.940e-02 3.937 3.801 4.048 3.398
0.02 0.14251 8.80000 1.2999999523 2.5194498592    1.300  0.418  3.8127  4.337    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.071e-01 2.734e-01 3.441e-03 9.402e-04 8.545e-03 -1.000 1.942e-02 3.726 3.591 3.820 3.210
0.02 0.14251 8.80000 1.3500000238 2.5249313598    1.350  0.498  3.8213  4.307    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-13      0.00 7.075e-01 2.732e-01 3.438e-03 9.394e-04 8.538e-03 -1.000 1.938e-02 3.525 3.390 3.605 3.030
0.02 0.14251 8.80000 1.3999999762 2.5299650300    1.400  0.574  3.8297  4.281    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.069e-01 2.736e-01 3.444e-03 9.411e-04 8.552e-03 -1.000 1.942e-02 3.334 3.201 3.401 2.861
0.02 0.14251 8.80000 1.4170602560 2.5315893587    1.417  0.599  3.8327  4.273    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.070e-01 2.736e-01 3.443e-03 9.408e-04 8.550e-03 -1.000 1.942e-02 3.272 3.139 3.333 2.806
0.02 0.14251 8.80000 1.4500000477 2.5346015836    1.450  0.647  3.8383  4.258    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-13      0.00 7.071e-01 2.735e-01 3.441e-03 9.402e-04 8.545e-03 -1.000 1.939e-02 3.152 3.021 3.206 2.701
0.02 0.14251 8.80000 1.4925675392 2.5382686682    1.493  0.707  3.8462  4.242    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 7.073e-01 2.733e-01 3.439e-03 9.396e-04 8.540e-03 -1.000 1.942e-02 3.003 2.874 3.047 2.574
0.02 0.14251 8.80000 1.5000000000 2.5388844597    1.500  0.717  3.8475  4.239    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-13      0.00 7.073e-01 2.732e-01 3.438e-03 9.395e-04 8.539e-03 -1.000 1.942e-02 2.978 2.849 3.019 2.552
0.02 0.14251 8.80000 1.5413025618 2.5421823780    1.541  0.773  3.8561  4.229    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.075e-01 2.731e-01 3.437e-03 9.390e-04 8.534e-03 -1.000 1.940e-02 2.838 2.713 2.869 2.436
0.02 0.14251 8.80000 1.5499999523 2.5428511323    1.550  0.785  3.8578  4.227    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.076e-01 2.730e-01 3.436e-03 9.389e-04 8.533e-03 -1.000 1.940e-02 2.809 2.684 2.837 2.412
0.02 0.14251 8.80000 1.6000000238 2.5465340628    1.600  0.849  3.8681  4.217    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.81e-14      0.00 7.077e-01 2.729e-01 3.434e-03 9.384e-04 8.529e-03 -1.000 1.941e-02 2.646 2.527 2.664 2.280
0.02 0.14251 8.80000 1.6476624012 2.5498065635    1.647  0.909  3.8774  4.208    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.6e-14      0.00 7.079e-01 2.727e-01 3.433e-03 9.380e-04 8.525e-03 -1.000 1.941e-02 2.498 2.385 2.507 2.161
0.02 0.14251 8.80000 1.6499999762 2.5499614773    1.649  0.912  3.8779  4.207    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.48e-14      0.00 7.079e-01 2.727e-01 3.433e-03 9.380e-04 8.525e-03 -1.000 1.941e-02 2.491 2.378 2.500 2.156
0.02 0.14251 8.80000 1.6563599110 2.5503804138    1.656  0.919  3.8791  4.206    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.82e-14      0.00 7.079e-01 2.727e-01 3.433e-03 9.380e-04 8.524e-03 -1.000 1.940e-02 2.472 2.359 2.479 2.140
0.02 0.14251 8.80000 1.6749999523 2.5515872080    1.674  0.942  3.8824  4.201    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.080e-01 2.726e-01 3.432e-03 9.379e-04 8.524e-03 -1.000 1.939e-02 2.415 2.305 2.420 2.094
0.02 0.14251 8.80000 1.7000000477 2.5531580802    1.699  0.972  3.8867  4.195    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.080e-01 2.726e-01 3.432e-03 9.377e-04 8.522e-03 -1.000 1.937e-02 2.341 2.234 2.343 2.034
0.02 0.14251 8.80000 1.7250001431 2.5546767043    1.724  1.001  3.8907  4.188    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.726e-01 3.431e-03 9.376e-04 8.522e-03 -1.000 1.933e-02 2.268 2.164 2.266 1.975
0.02 0.14251 8.80000 1.7426272631 2.5557173903    1.742  1.021  3.8933  4.183    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.376e-04 8.521e-03 -1.000 1.938e-02 2.217 2.116 2.214 1.934
0.02 0.14251 8.80000 1.7500000000 2.5561455243    1.749  1.030  3.8944  4.181    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.376e-04 8.521e-03 -1.000 1.940e-02 2.196 2.095 2.192 1.916
0.02 0.14251 8.80000 1.7750000954 2.5575668776    1.774  1.058  3.8981  4.173    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.375e-04 8.520e-03 -1.000 1.940e-02 2.124 2.027 2.119 1.858
0.02 0.14251 8.80000 1.7846081257 2.5581009646    1.783  1.069  3.8994  4.169    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.374e-04 8.520e-03 -1.000 1.940e-02 2.097 2.001 2.091 1.836
0.02 0.14251 8.80000 1.7999999523 2.5589429085    1.799  1.087  3.9013  4.164    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.431e-03 9.374e-04 8.519e-03 -1.000 1.937e-02 2.054 1.960 2.047 1.800
0.02 0.14251 8.80000 1.8250000477 2.5602756874    1.824  1.115  3.9048  4.155    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.374e-04 8.520e-03 -1.000 1.933e-02 1.983 1.894 1.975 1.743
0.02 0.14251 8.80000 1.8342765570 2.5607596121    1.833  1.125  3.9060  4.152    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.374e-04 8.519e-03 -1.000 1.932e-02 1.957 1.869 1.949 1.722
0.02 0.14251 8.80000 1.8500000238 2.5615671203    1.849  1.143  3.9079  4.146    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.373e-04 8.519e-03 -1.000 1.930e-02 1.914 1.828 1.905 1.686
0.02 0.14251 8.80000 1.8750000000 2.5628190289    1.874  1.170  3.9109  4.136    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.374e-04 8.519e-03 -1.000 1.936e-02 1.844 1.763 1.835 1.628
0.02 0.14251 8.80000 1.8771455288 2.5629246839    1.876  1.173  3.9111  4.135    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.374e-04 8.519e-03 -1.000 1.936e-02 1.838 1.757 1.829 1.623
0.02 0.14251 8.80000 1.8999999762 2.5640331260    1.899  1.198  3.9137  4.125    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.374e-04 8.520e-03 -1.000 1.936e-02 1.775 1.698 1.766 1.571
0.02 0.14251 8.80000 1.9196881056 2.5649637058    1.919  1.220  3.9159  4.117    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.082e-01 2.725e-01 3.430e-03 9.374e-04 8.520e-03 -1.000 1.936e-02 1.721 1.647 1.711 1.526
0.02 0.14251 8.80000 1.9249999523 2.5652110289    1.924  1.226  3.9165  4.115    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.375e-04 8.520e-03 -1.000 1.937e-02 1.706 1.633 1.696 1.514
0.02 0.14251 8.80000 1.9258184433 2.5652489989    1.925  1.226  3.9166  4.114    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.375e-04 8.520e-03 -1.000 1.937e-02 1.704 1.631 1.694 1.512
0.02 0.14251 8.80000 1.9477653503 2.5662534526    1.947  1.251  3.9187  4.104    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.375e-04 8.520e-03 -1.000 1.935e-02 1.643 1.574 1.634 1.461
0.02 0.14251 8.80000 1.9899438620 2.5681125093    1.990  1.297  3.9227  4.083    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.081e-01 2.725e-01 3.431e-03 9.376e-04 8.521e-03 -1.000 1.935e-02 1.528 1.465 1.519 1.363
